resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,fastestLapTime_seg,year,round,circuitId,name,date,time_race,url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time,driverRef,number_driver,code,forename,surname,dob,nationality,url_driver,constructorRef,name_constructor,nationality_constructor,url_constructor,circuitRef,name_circuit,location,country,lat,lng,alt,url_circuit,status,url_season,position_quali,q1_seg,q2_seg,q3_seg,points_standing,position_standing,wins,points_sprint,position_sprint,points_constructor_standing,position_constructor_standing,wins_constructor_standing,points_constructor_result
11,18,11,8,18.0,19,,R,11,0.0,32,,,24.0,15.0,1:30.892,210.038,7,90.892,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,sato,,SAT,Takuma,Sato,1977-01-28,Japanese,http://en.wikipedia.org/wiki/Takuma_Sato,super_aguri,Super Aguri,Japanese,http://en.wikipedia.org/wiki/Super_Aguri_F1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Transmission,http://en.wikipedia.org/wiki/2008_Formula_One_season,20.0,88.208,,,,,,,,,,,0.0
12,18,12,4,6.0,20,,R,12,0.0,30,,,20.0,16.0,1:31.384,208.907,8,91.384,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,piquet_jr,,PIQ,Nelson,Piquet Jr.,1985-07-25,Brazilian,"http://en.wikipedia.org/wiki/Nelson_Piquet,_Jr.",renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Clutch,http://en.wikipedia.org/wiki/2008_Formula_One_season,21.0,88.33,,,,,,,,5.0,4.0,0.0,5.0
13,18,13,6,2.0,4,,R,13,0.0,29,,,23.0,6.0,1:28.175,216.51,5,88.175,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,massa,19.0,MAS,Felipe,Massa,1981-04-25,Brazilian,http://en.wikipedia.org/wiki/Felipe_Massa,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Engine,http://en.wikipedia.org/wiki/2008_Formula_One_season,4.0,85.994,85.691,87.178,,,,,,1.0,6.0,0.0,1.0
14,18,14,9,9.0,8,,R,14,0.0,25,,,21.0,11.0,1:29.502,213.3,4,89.502,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,coulthard,,COU,David,Coulthard,1971-03-27,British,http://en.wikipedia.org/wiki/David_Coulthard,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Collision,http://en.wikipedia.org/wiki/2008_Formula_One_season,8.0,86.381,86.063,89.041,,,,,,,,,0.0
15,18,15,7,11.0,6,,R,15,0.0,19,,,18.0,10.0,1:29.310,213.758,10,89.31,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,trulli,,TRU,Jarno,Trulli,1974-07-13,Italian,http://en.wikipedia.org/wiki/Jarno_Trulli,toyota,Toyota,Japanese,http://en.wikipedia.org/wiki/Toyota_Racing,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Electrical,http://en.wikipedia.org/wiki/2008_Formula_One_season,6.0,86.42699999999999,86.101,88.527,,,,,,,,,0.0
16,18,16,10,20.0,22,,R,16,0.0,8,,,8.0,17.0,1:32.021,207.461,9,92.021,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,sutil,99.0,SUT,Adrian,Sutil,1983-01-11,German,http://en.wikipedia.org/wiki/Adrian_Sutil,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Hydraulics,http://en.wikipedia.org/wiki/2008_Formula_One_season,19.0,87.85900000000001,,,,,,,,,,,0.0
17,18,17,9,10.0,14,,R,17,0.0,0,,,,,,,4,,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,webber,,WEB,Mark,Webber,1976-08-27,Australian,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver),red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Collision,http://en.wikipedia.org/wiki/2008_Formula_One_season,15.0,86.914,,,,,,,,,,,0.0
18,18,18,11,16.0,12,,R,18,0.0,0,,,,,,,4,,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,button,22.0,BUT,Jenson,Button,1980-01-19,British,http://en.wikipedia.org/wiki/Jenson_Button,honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Collision,http://en.wikipedia.org/wiki/2008_Formula_One_season,13.0,86.712,86.259,,,,,,,,,,0.0
19,18,19,8,19.0,21,,R,19,0.0,0,,,,,,,4,,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,davidson,,DAV,Anthony,Davidson,1979-04-18,British,http://en.wikipedia.org/wiki/Anthony_Davidson,super_aguri,Super Aguri,Japanese,http://en.wikipedia.org/wiki/Super_Aguri_F1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Collision,http://en.wikipedia.org/wiki/2008_Formula_One_season,22.0,89.059,,,,,,,,,,,0.0
20,18,20,5,15.0,9,,R,20,0.0,0,,,,,,,4,,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,vettel,5.0,VET,Sebastian,Vettel,1987-07-03,German,http://en.wikipedia.org/wiki/Sebastian_Vettel,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Collision,http://en.wikipedia.org/wiki/2008_Formula_One_season,10.0,86.702,85.842,,,,,,,2.0,5.0,0.0,2.0
21,18,21,10,21.0,16,,R,21,0.0,0,,,,,,,4,,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,fisichella,,FIS,Giancarlo,Fisichella,1973-01-14,Italian,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Collision,http://en.wikipedia.org/wiki/2008_Formula_One_season,17.0,87.207,,,,,,,,,,,0.0
22,18,22,11,17.0,10,,D,22,0.0,58,,,44.0,8.0,1:28.736,215.141,2,88.736,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,barrichello,,BAR,Rubens,Barrichello,1972-05-23,Brazilian,http://en.wikipedia.org/wiki/Rubens_Barrichello,honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1,albert_park,Albert Park Grand Prix Circuit,Melbourne,Australia,-37.8497,144.968,10,http://en.wikipedia.org/wiki/Melbourne_Grand_Prix_Circuit,Disqualified,http://en.wikipedia.org/wiki/2008_Formula_One_season,11.0,86.369,86.173,,,,,,,,,,0.0
23,19,8,6,1.0,2,1.0,1,1,10.0,56,1:31:18.555,5478555.0,37.0,2.0,1:35.405,209.158,1,95.405,2008,2,2,Malaysian Grand Prix,2008-03-23,07:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,,,,,,,,,,,raikkonen,7.0,RAI,Kimi,Räikkönen,1979-10-17,Finnish,http://en.wikipedia.org/wiki/Kimi_R%C3%A4ikk%C3%B6nen,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18,http://en.wikipedia.org/wiki/Sepang_International_Circuit,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,2.0,95.64500000000001,94.188,96.22999999999999,11.0,2.0,1.0,,,11.0,3.0,1.0,10.0
24,19,9,2,4.0,4,2.0,2,2,8.0,56,+19.570,5498125.0,39.0,6.0,1:35.921,208.033,1,95.92099999999999,2008,2,2,Malaysian Grand Prix,2008-03-23,07:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,,,,,,,,,,,kubica,88.0,KUB,Robert,Kubica,1984-12-07,Polish,http://en.wikipedia.org/wiki/Robert_Kubica,bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18,http://en.wikipedia.org/wiki/Sepang_International_Circuit,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,6.0,95.794,94.811,96.727,8.0,5.0,0.0,,,19.0,2.0,0.0,11.0
25,19,5,1,23.0,8,3.0,3,3,6.0,56,+38.450,5517005.0,19.0,7.0,1:35.922,208.031,1,95.922,2008,2,2,Malaysian Grand Prix,2008-03-23,07:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,,,,,,,,,,,kovalainen,,KOV,Heikki,Kovalainen,1981-10-19,Finnish,http://en.wikipedia.org/wiki/Heikki_Kovalainen,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18,http://en.wikipedia.org/wiki/Sepang_International_Circuit,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,3.0,95.227,94.759,96.613,10.0,4.0,0.0,,,24.0,1.0,1.0,10.0
26,19,15,7,11.0,3,4.0,4,4,5.0,56,+45.832,5524387.0,53.0,8.0,1:36.068,207.715,1,96.068,2008,2,2,Malaysian Grand Prix,2008-03-23,07:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,,,,,,,,,,,trulli,,TRU,Jarno,Trulli,1974-07-13,Italian,http://en.wikipedia.org/wiki/Jarno_Trulli,toyota,Toyota,Japanese,http://en.wikipedia.org/wiki/Toyota_Racing,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18,http://en.wikipedia.org/wiki/Sepang_International_Circuit,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,5.0,95.205,94.96000000000001,96.711,5.0,8.0,0.0,,,5.0,6.0,0.0,5.0
27,19,1,1,22.0,9,5.0,5,5,4.0,56,+46.548,5525103.0,53.0,3.0,1:35.462,209.033,1,95.462,2008,2,2,Malaysian Grand Prix,2008-03-23,07:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,,,,,,,,,,,hamilton,44.0,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18,http://en.wikipedia.org/wiki/Sepang_International_Circuit,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,4.0,95.392,94.62700000000001,96.709,14.0,1.0,1.0,,,24.0,1.0,1.0,10.0
28,19,2,2,3.0,5,6.0,6,6,3.0,56,+49.833,5528388.0,55.0,1.0,1:35.366,209.244,1,95.366,2008,2,2,Malaysian Grand Prix,2008-03-23,07:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,,,,,,,,,,,heidfeld,,HEI,Nick,Heidfeld,1977-05-10,German,http://en.wikipedia.org/wiki/Nick_Heidfeld,bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18,http://en.wikipedia.org/wiki/Sepang_International_Circuit,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,7.0,95.729,94.648,96.753,11.0,3.0,0.0,,,19.0,2.0,0.0,11.0
29,19,17,9,10.0,6,7.0,7,7,2.0,56,+1:08.130,5546685.0,53.0,12.0,1:36.696,206.366,1,96.696,2008,2,2,Malaysian Grand Prix,2008-03-23,07:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,,,,,,,,,,,webber,,WEB,Mark,Webber,1976-08-27,Australian,http://en.wikipedia.org/wiki/Mark_Webber_(racing_driver),red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18,http://en.wikipedia.org/wiki/Sepang_International_Circuit,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,8.0,95.44,94.967,97.009,2.0,11.0,0.0,,,2.0,7.0,0.0,2.0
30,19,4,4,5.0,7,8.0,8,8,1.0,56,+1:10.041,5548596.0,40.0,10.0,1:36.288,207.24,1,96.288,2008,2,2,Malaysian Grand Prix,2008-03-23,07:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,,,,,,,,,,,alonso,14.0,ALO,Fernando,Alonso,1981-07-29,Spanish,http://en.wikipedia.org/wiki/Fernando_Alonso,renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18,http://en.wikipedia.org/wiki/Sepang_International_Circuit,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,9.0,95.983,95.14,98.45,6.0,7.0,0.0,,,6.0,5.0,0.0,1.0
31,19,14,9,9.0,12,9.0,9,9,0.0,56,+1:16.220,5554775.0,55.0,9.0,1:36.206,207.417,1,96.206,2008,2,2,Malaysian Grand Prix,2008-03-23,07:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,,,,,,,,,,,coulthard,,COU,David,Coulthard,1971-03-27,British,http://en.wikipedia.org/wiki/David_Coulthard,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18,http://en.wikipedia.org/wiki/Sepang_International_Circuit,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,12.0,96.05799999999999,95.408,,0.0,12.0,0.0,,,2.0,7.0,0.0,2.0
32,19,18,11,16.0,11,10.0,10,10,0.0,56,+1:26.214,5564769.0,56.0,4.0,1:35.715,208.481,1,95.715,2008,2,2,Malaysian Grand Prix,2008-03-23,07:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,,,,,,,,,,,button,22.0,BUT,Jenson,Button,1980-01-19,British,http://en.wikipedia.org/wiki/Jenson_Button,honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18,http://en.wikipedia.org/wiki/Sepang_International_Circuit,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,11.0,95.84700000000001,95.208,,0.0,13.0,0.0,,,0.0,9.0,0.0,0.0
33,19,12,4,6.0,13,11.0,11,11,0.0,56,+1:32.202,5570757.0,52.0,15.0,1:36.956,205.812,1,96.956,2008,2,2,Malaysian Grand Prix,2008-03-23,07:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,,,,,,,,,,,piquet_jr,,PIQ,Nelson,Piquet Jr.,1985-07-25,Brazilian,"http://en.wikipedia.org/wiki/Nelson_Piquet,_Jr.",renault,Renault,French,http://en.wikipedia.org/wiki/Renault_in_Formula_One,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18,http://en.wikipedia.org/wiki/Sepang_International_Circuit,Finished,http://en.wikipedia.org/wiki/2008_Formula_One_season,13.0,96.074,95.562,,0.0,14.0,0.0,,,6.0,5.0,0.0,1.0
34,19,21,10,21.0,17,12.0,12,12,0.0,55,,,52.0,16.0,1:36.962,205.8,11,96.962,2008,2,2,Malaysian Grand Prix,2008-03-23,07:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,,,,,,,,,,,fisichella,,FIS,Giancarlo,Fisichella,1973-01-14,Italian,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,force_india,Force India,Indian,http://en.wikipedia.org/wiki/Racing_Point_Force_India,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18,http://en.wikipedia.org/wiki/Sepang_International_Circuit,+1 Lap,http://en.wikipedia.org/wiki/2008_Formula_One_season,17.0,96.24000000000001,,,0.0,15.0,0.0,,,0.0,10.0,0.0,0.0
35,19,22,11,17.0,14,13.0,13,13,0.0,55,,,55.0,11.0,1:36.693,206.372,11,96.693,2008,2,2,Malaysian Grand Prix,2008-03-23,07:00:00,http://en.wikipedia.org/wiki/2008_Malaysian_Grand_Prix,,,,,,,,,,,barrichello,,BAR,Rubens,Barrichello,1972-05-23,Brazilian,http://en.wikipedia.org/wiki/Rubens_Barrichello,honda,Honda,Japanese,http://en.wikipedia.org/wiki/Honda_Racing_F1,sepang,Sepang International Circuit,Kuala Lumpur,Malaysia,2.76083,101.738,18,http://en.wikipedia.org/wiki/Sepang_International_Circuit,+1 Lap,http://en.wikipedia.org/wiki/2008_Formula_One_season,14.0,96.19800000000001,95.622,,0.0,16.0,0.0,,,0.0,9.0,0.0,0.0
